日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,水分量,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,horse_id
2026/06/14,3阪神4,雨,11,宝塚記念(GI),,18,7,15,19.1,6,中,横山典弘,58,芝2200,,重,-15,,,,,,,,10-10-14-18,35.4-35.6,,480(+12),,,メイショウタバル,,2022104902
2026/03/28,3中山1,晴,11,日経賞(GII),,15,8,15,7.0,4,1,横山典弘,56,芝2500,,良,**,2:30.7,-0.2,**,**,**,**,**,10-10-13-11,29.4-36.0,35.0,468(-12),,,(ミクニインスパイア),"6,806.4",2022104902
2026/03/08,2中山4,晴,9,湾岸S(3勝クラス),,16,1,1,2.2,1,1,横山典弘,57,芝2500,,良,**,2:32.1,-0.6,**,**,**,**,**,5-5-5-5,30.5-36.4,35.6,480(+10),,,(トリプルコーク),"1,904.3",2022104902
2026/01/10,1中山3,晴,11,迎春S(3勝クラス),,17,2,4,2.5,1,2,横山典弘,57,芝2200,,良,**,2:10.9,0.2,**,**,**,**,**,4-4-5-3,35.1-34.6,34.2,470(+6),,,アスクナイスショー,760.4,2022104902
2025/10/26,3京都9,小雨,11,菊花賞(GI),,18,6,11,9.1,4,13,武豊,57,芝3000,,稍,**,3:05.5,1.5,**,**,**,**,**,11-11-3-3,36.4-35.3,36.7,464(-2),,,エネルジコ,,2022104902
2025/09/20,4中山6,曇,10,九十九里特別(2勝クラス),,9,1,1,1.4,1,1,横山典弘,55,芝2500,,良,**,2:32.0,-1.2,**,**,**,**,**,1-1-1-1,30.7-34.1,34.1,466(0),,,(ミントマーク),"1,569.6",2022104902
2025/06/01,2京都12,晴,11,白百合S(L),,11,5,5,3.1,1,5,藤岡佑介,57,芝1800,,良,**,1:45.6,0.3,**,**,**,**,**,7-6,34.0-35.4,35.0,466(-2),,,ライトトラック,200.0,2022104902
2025/05/17,2京都7,曇,9,あずさ賞(1勝クラス),,10,4,4,5.8,3,1,浜中俊,57,芝2000,,不,**,2:00.8,-0.1,**,**,**,**,**,8-8-7-5,35.8-35.7,35.1,468(0),,,(エキサイトバイオ),"1,132.4",2022104902
2025/03/15,1阪神5,小雨,9,ゆきやなぎ賞(1勝クラス),,12,2,2,9.8,6,2,横山典弘,57,芝2400,,良,**,2:24.7,0.1,**,**,**,**,**,4-6-6-6,36.1-34.8,34.3,468(+6),,,ゲルチュタール,447.6,2022104902
2025/01/11,1中京3,晴,5,3歳未勝利,,18,5,9,6.9,4,1,横山典弘,57,芝2200,,良,**,2:16.5,-0.1,**,**,**,**,**,6-6-9-8,35.8-35.6,35.1,462(0),,,(バルナバ),560.0,2022104902
2024/11/16,6京都5,曇,2,2歳未勝利,,11,4,4,2.1,1,3,横山典弘,56,ダ1800,,良,**,1:54.7,0.5,**,**,**,**,**,2-3-6-6,36.4-38.7,38.7,462(0),,,ベイラム,140.0,2022104902
2024/10/26,4新潟7,晴,2,2歳未勝利,,12,5,5,3.2,2,2,佐々木大,56,ダ1800,,良,**,1:54.1,0.3,**,**,**,**,**,3-3-4-3,37.1-37.6,37.4,462(+2),,,ブラックジジ,220.0,2022104902
2024/09/01,2札幌8,晴,2,2歳未勝利,,12,5,6,2.3,1,12,横山典弘,55,芝2000,,稍,**,2:10.5,5.0,**,**,**,**,**,1-1-1-2,36.9-37.2,42.2,460(+2),,,マハートマーベル,,2022104902
2024/08/10,2札幌1,曇,1,2歳未勝利,,7,3,3,8.5,3,2,横山典弘,55,芝1800,,良,**,1:49.5,0.1,**,**,**,**,**,2-2-2-2,37.5-34.9,34.9,458(0),,,テリオスララ,220.0,2022104902
2024/07/28,1札幌4,曇,5,2歳新馬,,12,6,7,12.8,6,5,横山典弘,55,芝1800,,重,**,1:51.7,1.2,**,**,**,**,**,10-10-9-9,37.5-35.0,35.4,458(0),,,ファイアンクランツ,72.0,2022104902
