  人気   avg_tan  avg_fuku  win_rate  fuku_rate     n
 1.0   237.817   130.366     0.331      0.647 34382
 2.0   412.109   161.702     0.194      0.518 34365
 3.0   597.121   195.449     0.132      0.417 34371
 4.0   821.214   235.334     0.093      0.333 34364
 5.0  1117.134   290.472     0.071      0.266 34342
 6.0  1527.798   363.615     0.054      0.217 34304
 7.0  2040.560   457.968     0.039      0.165 34106
 8.0  2635.563   579.959     0.027      0.129 33639
 9.0  3549.130   732.830     0.021      0.099 32594
10.0  4524.255   891.978     0.017      0.079 31091
11.0  6057.896  1168.462     0.011      0.061 29109
12.0  7302.946  1396.637     0.010      0.049 26825
13.0  9859.548  1756.749     0.006      0.035 24077
14.0 12201.682  2177.589     0.005      0.027 21413
15.0 13304.444  2679.808     0.004      0.020 17877
16.0 20847.353  3551.957     0.002      0.013 13764
17.0 21986.667  3990.000     0.001      0.012  2985
18.0 29310.000  4360.500     0.001      0.009  2308
